word-1	word-2	GS_value	Similar by path	LCS path	Similar by L&C	LCS L&C	Similar by W&P	LCS W&P	Similar by R	LCS R	Similar by L	LCS L	Similar by J&C	LCS J&C
jongen	wijsgeer	1.175	0.3333333333333333	nld-21-d_n-24443-n	2.3025850929940455	nld-21-d_n-24443-n	0.8888888888888888	nld-21-d_n-24443-n	6.314929282018136	nld-21-d_n-24443-n	0.5379492029376366	nld-21-d_n-24443-n	0.09218347117581488	nld-21-d_n-24443-n
grijns	knul	1.225	0.0625	nld-21-d_n-28590-n	0.6286086594223742	nld-21-d_n-28590-n	0.11764705882352941	nld-21-d_n-28590-n	3.066634912582401	nld-21-d_n-28590-n	0.0	nld-21-d_n-28590-n	0.0	nld-21-d_n-28590-n
kust	bos	1.2439024390243902	0.16666666666666666	nld-21-d_n-28590-n	1.6094379124341003	nld-21-d_n-28590-n	0.4444444444444444	nld-21-d_n-38865-n	4.63087453334782	nld-21-d_n-38865-n	0.3591420823174954	nld-21-d_n-38865-n	0.06050782355661257	nld-21-d_n-38865-n
oever	woud	1.2564102564102564	0.14285714285714285	nld-21-d_n-38865-n	1.455287232606842	nld-21-d_n-38865-n	0.4	nld-21-d_n-38865-n	4.63087453334782	nld-21-d_n-38865-n	0.0	nld-21-d_n-38865-n	0.0	nld-21-d_n-38865-n
kust	berg	1.325	0.16666666666666666	nld-21-d_n-28590-n	1.6094379124341003	nld-21-d_n-28590-n	0.2857142857142857	nld-21-d_n-28590-n	3.066634912582401	nld-21-d_n-28590-n	0.26000244393064564	nld-21-d_n-28590-n	0.05728686726117726	nld-21-d_n-28590-n
glas	juweel	1.6153846153846154	0.3333333333333333	nld-21-d_n-31770-n	2.3025850929940455	nld-21-d_n-31770-n	0.75	nld-21-d_n-31770-n	9.49273899954219	nld-21-d_n-39538-n	0.6711923127821341	nld-21-d_n-39538-n	0.1075185689970632	nld-21-d_n-39538-n
voedsel	hen	1.6923076923076923	0.1111111111111111	nld-21-d_n-28590-n	1.2039728043259361	nld-21-d_n-28590-n	0.2	nld-21-d_n-28590-n	3.066634912582401	nld-21-d_n-28590-n	0.2709254481493974	nld-21-d_n-28590-n	0.06058788459676699	nld-21-d_n-28590-n
ezel	hen	1.8	0.16666666666666666	nld-21-d_n-10845-n	1.6094379124341003	nld-21-d_n-10845-n	0.6666666666666666	nld-21-d_n-10845-n	6.217350774706231	nld-21-d_n-10845-n	0.44120385682144037	nld-21-d_n-10845-n	0.06349660922756585	nld-21-d_n-10845-n
berg	woud	1.945945945945946	0.125	nld-21-d_n-28590-n	1.3217558399823195	nld-21-d_n-28590-n	0.36363636363636365	nld-21-d_n-24488-n	6.389403226051073	nld-21-d_n-24488-n	0.0	nld-21-d_n-28590-n	0.0	nld-21-d_n-28590-n
ezel	werktuig	2.054054054054054	0.2	nld-21-d_n-31770-n	1.791759469228055	nld-21-d_n-31770-n	0.6	nld-21-d_n-31770-n	6.285283123401736	nld-21-d_n-31770-n	0.4958948816867187	nld-21-d_n-24103-n	0.09206815400624349	nld-21-d_n-24103-n
vogel	ezel	2.076923076923077	0.2	nld-21-d_n-10845-n	1.791759469228055	nld-21-d_n-10845-n	0.7142857142857143	nld-21-d_n-10845-n	6.217350774706231	nld-21-d_n-10845-n	0.47591502395274793	nld-21-d_n-10845-n	0.0730284930574788	nld-21-d_n-10845-n
vogel	woud	2.1052631578947367	0.09090909090909091	nld-21-d_n-28590-n	1.0033021088637848	nld-21-d_n-28590-n	0.16666666666666666	nld-21-d_n-28590-n	3.066634912582401	nld-21-d_n-28590-n	0.0	nld-21-d_n-28590-n	0.0	nld-21-d_n-28590-n
orakel	wijsgeer	2.1842105263157894	0.3333333333333333	nld-21-d_n-24443-n	2.3025850929940455	nld-21-d_n-24443-n	0.8888888888888888	nld-21-d_n-24443-n	6.314929282018136	nld-21-d_n-24443-n	0.0	nld-21-d_n-24443-n	0.0	nld-21-d_n-24443-n
broeder	knul	2.282051282051282	0.2	nld-21-d_n-12603-n	1.791759469228055	nld-21-d_n-12603-n	0.7777777777777778	nld-21-d_n-12603-n	6.278930782850419	nld-21-d_n-12603-n	0.530580468066106	nld-21-d_n-12603-n	0.09000661133966345	nld-21-d_n-12603-n
wijsgeer	tovenaar	2.3076923076923075	0.3333333333333333	nld-21-d_n-24443-n	2.3025850929940455	nld-21-d_n-24443-n	0.8888888888888888	nld-21-d_n-24443-n	6.314929282018136	nld-21-d_n-24443-n	0.4249608483490177	nld-21-d_n-24443-n	0.05851308801332027	nld-21-d_n-24443-n
auto	tocht	2.41025641025641	0.09090909090909091	nld-21-d_n-28590-n	1.0033021088637848	nld-21-d_n-28590-n	0.16666666666666666	nld-21-d_n-28590-n	3.066634912582401	nld-21-d_n-28590-n	0.2838598501712886	nld-21-d_n-28590-n	0.064626981956845	nld-21-d_n-28590-n
broeder	monnik	2.4871794871794872	0.5	nld-21-d_n-23302-n	2.70805020110221	nld-21-d_n-23302-n	0.9523809523809523	nld-21-d_n-23302-n	12.00307681881819	nld-21-d_n-23302-n	0.886206753786787	nld-21-d_n-23302-n	0.3244113105400513	nld-21-d_n-23302-n
magiër	orakel	2.575	0.3333333333333333	nld-21-d_n-24443-n	2.3025850929940455	nld-21-d_n-24443-n	0.8888888888888888	nld-21-d_n-24443-n	6.314929282018136	nld-21-d_n-24443-n	0.0	nld-21-d_n-24443-n	0.0	nld-21-d_n-24443-n
kust	oever	2.6	0.3333333333333333	nld-21-d_n-40000-n	2.3025850929940455	nld-21-d_n-40000-n	0.8333333333333334	nld-21-d_n-40000-n	10.107303993456224	nld-21-d_n-40000-n	0.7428233522266963	nld-21-d_n-40000-n	0.14288567588172885	nld-21-d_n-40000-n
lijfeigene	slaaf	2.925	1.0	nld-21-d_n-42033-n	3.4011973816621555	nld-21-d_n-42033-n	1.0	nld-21-d_n-42033-n	14.74505584679957	nld-21-d_n-42033-n	1.286766995E8	nld-21-d_n-42033-n	1.286766995E8	nld-21-d_n-42033-n
vogel	kip	2.951219512195122	0.3333333333333333	nld-21-d_n-31725-n	2.3025850929940455	nld-21-d_n-31725-n	0.8571428571428571	nld-21-d_n-31725-n	11.291098065907793	nld-21-d_n-31725-n	0.9165676956128987	nld-21-d_n-31725-n	0.48647903907480655	nld-21-d_n-31725-n
bed	nest	3.125	1.0	nld-21-d_n-38284-n	3.4011973816621555	nld-21-d_n-38284-n	1.0	nld-21-d_n-38284-n	12.764884046942662	nld-21-d_n-38284-n	1.286766995E8	nld-21-d_n-38284-n	1.286766995E8	nld-21-d_n-38284-n
voedsel	fruit	3.2051282051282053	0.5	nld-21-d_n-37334-n	2.70805020110221	nld-21-d_n-37334-n	0.8571428571428571	nld-21-d_n-37334-n	9.291534638633456	nld-21-d_n-37334-n	0.8519945218317192	nld-21-d_n-37334-n	0.3097715765428281	nld-21-d_n-37334-n
oven	fornuis	3.2051282051282053	0.25	nld-21-d_n-32526-n	2.0149030205422647	nld-21-d_n-32526-n	0.8	nld-21-d_n-32526-n	6.699127813144899	nld-21-d_n-32526-n	0.46175240116189775	nld-21-d_n-32526-n	0.06402930707937955	nld-21-d_n-32526-n
inrichting	gekkenhuis	3.230769230769231	1.0	nld-21-d_n-11799-n	3.4011973816621555	nld-21-d_n-11799-n	1.0	nld-21-d_n-11799-n	11.779907614748232	nld-21-d_n-39876-n	1.286766995E8	nld-21-d_n-11799-n	1.286766995E8	nld-21-d_n-11799-n
werktuig	gereedschap	3.257142857142857	1.0	nld-21-d_n-15072-n	3.4011973816621555	nld-21-d_n-15072-n	1.0	nld-21-d_n-15072-n	6.709250098623489	nld-21-d_n-15072-n	1.286766995E8	nld-21-d_n-15072-n	1.286766995E8	nld-21-d_n-15072-n
grijns	glimlach	3.3684210526315788	0.09090909090909091	nld-21-d_n-28590-n	1.0033021088637848	nld-21-d_n-28590-n	0.16666666666666666	nld-21-d_n-28590-n	3.066634912582401	nld-21-d_n-28590-n	0.0	nld-21-d_n-28590-n	0.0	nld-21-d_n-28590-n
glas	drinkbeker	3.4634146341463414	0.25	nld-21-d_n-31770-n	2.0149030205422647	nld-21-d_n-31770-n	0.6666666666666666	nld-21-d_n-31770-n	6.285283123401736	nld-21-d_n-31770-n	0.4425266518672315	nld-21-d_n-31770-n	0.06314812812348838	nld-21-d_n-31770-n
edelsteen	juweel	3.5675675675675675	0.5	nld-21-d_n-16609-n	2.70805020110221	nld-21-d_n-16609-n	0.9090909090909091	nld-21-d_n-16609-n	12.260301251475006	nld-21-d_n-16609-n	0.900936508896893	nld-21-d_n-16609-n	0.3708936690604928	nld-21-d_n-16609-n
tocht	reis	3.5853658536585367	0.5	nld-21-d_n-30425-n	2.70805020110221	nld-21-d_n-30425-n	0.9333333333333333	nld-21-d_n-30425-n	10.288693201619074	nld-21-d_n-30425-n	0.9670809710558341	nld-21-d_n-30425-n	1.4276626876589478	nld-21-d_n-30425-n
berg	heuvel	3.641025641025641	0.3333333333333333	nld-21-d_n-14425-n	2.3025850929940455	nld-21-d_n-14425-n	0.8	nld-21-d_n-14425-n	11.101533660173123	nld-21-d_n-14425-n	0.8146401148876863	nld-21-d_n-14425-n	0.1979415946453297	nld-21-d_n-14425-n
koord	draadje	3.658536585365854	0.3333333333333333	nld-21-d_n-40220-n	2.3025850929940455	nld-21-d_n-40220-n	0.8333333333333334	nld-21-d_n-40220-n	11.214474684478393	nld-21-d_n-40220-n	0.0	nld-21-d_n-31770-n	0.0	nld-21-d_n-31770-n
ochtend	morgen	3.75	1.0	nld-21-d_n-40803-n	3.4011973816621555	nld-21-d_n-40803-n	1.0	nld-21-d_n-40803-n	12.446875864199521	nld-21-d_n-40803-n	1.286766995E8	nld-21-d_n-40803-n	1.286766995E8	nld-21-d_n-40803-n
kip	hen	3.7948717948717947	1.0	nld-21-d_n-34484-n	3.4011973816621555	nld-21-d_n-34484-n	1.0	nld-21-d_n-34484-n	13.346685089558012	nld-21-d_n-34484-n	1.286766995E8	nld-21-d_n-34484-n	1.286766995E8	nld-21-d_n-34484-n
wagen	auto	3.8	1.0	nld-21-d_n-26965-n	3.4011973816621555	nld-21-d_n-26965-n	1.0	nld-21-d_n-26965-n	10.617544323799097	nld-21-d_n-26965-n	1.286766995E8	nld-21-d_n-26965-n	1.286766995E8	nld-21-d_n-26965-n
magiër	tovenaar	3.875	1.0	nld-21-d_n-31360-n	3.4011973816621555	nld-21-d_n-31360-n	1.0	nld-21-d_n-31360-n	15.767831922729439	nld-21-d_n-31360-n	1.286766995E8	nld-21-d_n-31360-n	1.286766995E8	nld-21-d_n-31360-n
bos	woud	3.8974358974358974	0.5	nld-21-d_n-10464-n	2.70805020110221	nld-21-d_n-10464-n	0.9090909090909091	nld-21-d_n-10464-n	12.529877269091156	nld-21-d_n-10464-n	0.0	nld-21-d_n-28590-n	0.0	nld-21-d_n-28590-n
jongen	knul	3.8974358974358974	1.0	nld-21-d_n-34331-n	3.4011973816621555	nld-21-d_n-34331-n	1.0	nld-21-d_n-34331-n	10.937196160168417	nld-21-d_n-34331-n	1.286766995E8	nld-21-d_n-34331-n	1.286766995E8	nld-21-d_n-34331-n
begraafplaats	kerkhof	3.951219512195122	1.0	nld-21-d_n-32695-n	3.4011973816621555	nld-21-d_n-32695-n	1.0	nld-21-d_n-32695-n	14.449772944628446	nld-21-d_n-32695-n	1.286766995E8	nld-21-d_n-32695-n	1.286766995E8	nld-21-d_n-32695-n
handtekening	signatuur	3.975	0.5	nld-21-d_n-28368-n	2.70805020110221	nld-21-d_n-28368-n	0.9411764705882353	nld-21-d_n-28368-n	13.236033177928814	nld-21-d_n-28368-n	0.903763186303497	nld-21-d_n-28368-n	0.3547525848869495	nld-21-d_n-28368-n
